"","species","nicheSize_GFDL","nicheSize_MPI","nicheSize_UKESM","nicheDensity_GFDL","nicheDensity_MPI","nicheDensity_UKESM"
"209","Epithelantha pachyrhiza",2.43305780164009,2.61591998003482,1.75810663348589,238948,307618,125759
"210","Epithelantha spinosior",1.48959854338135,1.57962644159432,1.84096625657447,168837,171137,131367
"211","Eriosyce aurata",19.4580106710544,19.2017768806849,11.613896169036,1144601,1321672,570626
"212","Eriosyce castanea",2.58509153610551,2.83293032929232,3.76530994040165,249678,295901,345951
"213","Eriosyce curvispina",27.8089152177045,28.576286250428,16.728874359996,2242478,2378467,1324642
"214","Eriosyce eriosyzoides",7.67476644983571,7.30961510402325,14.2274400988774,249192,363061,1020897
"215","Eriosyce heinrichiana",4.71208763792648,4.6038633837063,6.30998790104606,164882,286950,208895
"216","Eriosyce islayensis",8.79967195628342,9.04131799786437,2.29962957791597,187369,293634,171040
"217","Eriosyce kunzei",9.00320563083504,8.51862493969639,8.15208093544389,385639,504582,450288
"218","Eriosyce limariensis",4.78693629511601,5.12773788882836,1.59424857137398,246883,373705,117850
"219","Eriosyce nigrihorrida",0.628294158157384,0.742284982928778,3.30065749002224,49133,89292,151177
"220","Eriosyce odieri",0.653562907898166,0.700561141037243,1.16713578575374,21990,41173,71986
"221","Eriosyce paucicostata",15.2721403838386,16.217966754324,10.2541399498232,1039030,1301350,743552
"222","Eriosyce rodentiophila",0.96785044038035,1.19423626065282,1.30571929635161,51948,58897,95398
"223","Eriosyce senilis",3.53607205897271,3.69005244855587,3.10955371185508,156858,296995,207665
"224","Eriosyce simulans",7.39719402003459,7.60425668264471,14.0059964439569,568682,751612,735041
"225","Eriosyce strausiana",17.6412854914513,17.5581270702706,5.79652452018593,1114787,1171983,485013
"226","Eriosyce subgibbosa",5.53843322518121,5.15836027594987,12.836278679928,404315,566845,585245
"227","Eriosyce taltalensis",9.76898133305773,10.6423589394692,4.10552550172639,324604,453366,223308
"228","Eriosyce villosa",8.07957916094058,9.01212602099393,4.88421033744468,162323,251712,119440
"229","Eriosyce wagenknechtii",6.77115824407314,10.1881127262031,30.8195097904538,353623,414557,2072467
"230","Espostoa lanata",9.05654980839389,9.76942771929492,17.8111684333624,234476,347270,1059201
"231","Eulychnia acida",6.91873624645409,7.3075454575537,10.5915717924571,274842,476731,426420
"232","Eulychnia breviflora",12.9179158862035,13.9658387400324,39.0853757216195,899377,1067649,2497303
"233","Eulychnia iquiquensis",8.7553036631551,9.11882979059408,4.06790172996924,285906,450803,208303
"234","Facheiroa squamosa",9.85204009679326,10.9342209667073,5.35381051369355,529566,524501,262371
"235","Ferocactus acanthodes",18.4248380866831,19.3709102530436,17.7028561998649,1615423,1458957,1956324
"236","Ferocactus alamosanus",7.04356519289437,7.15887734503855,5.62061552720258,455642,292551,289403
"237","Ferocactus chrysacanthus",0.882801300129779,0.945284852148353,4.76303592213724,130343,45603,177388
"238","Ferocactus echidne",24.0448758413267,25.4798155614477,18.2064656084892,1726587,1748410,1087551
"239","Ferocactus emoryi",11.986203236039,11.838393570587,14.7346925461387,1088487,856597,1453678
"240","Ferocactus flavovirens",4.01878121169143,4.07431192932649,1.30235114594157,327369,258562,21974
"241","Ferocactus fordii",1.79775038343967,1.91592058535506,5.36612762694479,259803,140242,220141
"242","Ferocactus glaucescens",10.8687831073542,11.2154761130392,11.4841555245273,960593,942886,620177
"243","Ferocactus gracilis",5.56612363526631,5.31254161657117,7.56004648002904,624299,494376,393338
"244","Ferocactus herrerae",13.1092619883919,14.2322197308817,8.82955476648827,782379,610395,672009
"245","Ferocactus histrix",19.3430845633591,20.7493894848143,16.1390770180367,1528328,1290639,977704
"246","Ferocactus macrodiscus",9.89890343367638,10.3383635499329,7.35231317298395,943874,875856,431616
"247","Ferocactus pilifer",18.9741509594182,20.3599279782462,11.4954540649872,1634145,1594575,708452
"248","Ferocactus pottsii",3.68887120780057,3.71180452715496,1.04388635194466,198735,124448,56526
"249","Ferocactus recurvus",30.1865092804666,30.6636513759172,24.5126637649694,2202296,2027936,1634511
"250","Ferocactus robustus",3.87468328425233,3.66464618210866,1.61559249191184,352818,253120,38696
"251","Ferocactus townsendianus",6.93757370079198,7.32885568941732,5.39605916228943,604069,644616,476724
"252","Ferocactus viridescens",3.01519081049825,3.22373737837542,2.97423014484542,394096,254546,272588
"253","Ferocactus wislizeni",18.1447904863552,18.4405428934805,14.1615411542988,1475696,1209076,1621970
"254","Frailea pygmaea",3.92232665670997,3.94952677562247,3.08925590499911,312998,250921,286995
"255","Grusonia aggeria",2.06669627806473,2.03424384974537,1.70977908065223,194650,66810,175753
"256","Grusonia bradtiana",2.54925162466991,2.62583381561706,1.27959363852733,131807,223905,132533
"257","Grusonia clavata",5.31085602666159,5.90325323315487,3.25174057707354,381555,301488,501782
"258","Grusonia emoryi",4.92732253458354,4.75539898708339,5.89310996487816,563302,487869,651419
"259","Grusonia kunzei",5.64214950358044,5.38076390839926,6.87267013308284,640463,478104,716643
"260","Grusonia parishii",5.19415650329709,5.40646582435072,7.63431986105286,571932,393959,905833
"261","Grusonia vilis",2.38052782396054,2.38634199951614,2.69545501508748,250937,185392,192664
"262","Grusonia wrightiana",6.39659980794083,7.053056239445,7.68612422831919,733000,589008,814874
"263","Gymnocalycium capillense",1.79304126749255,2.02155136448616,2.40508236518653,187709,138611,199161
"264","Gymnocalycium monvillei",6.1267820363749,6.74044552873416,5.20104047223625,696471,591256,428097
"265","Gymnocalycium pflanzii",12.9930731576435,14.1719495315162,11.1068913921187,640790,772897,657050
"266","Gymnocalycium saglionis",10.9597523084365,11.7769306595278,7.9453085013201,321849,566048,643524
"267","Gymnocalycium schroederianum",4.66325991594828,4.91587925936331,3.08700170038549,393142,450319,243437
"268","Gymnocalycium spegazzinii",6.84366394547543,7.30849080279486,7.14096791422317,111867,167930,416211
"269","Haageocereus acranthus",6.15295421258714,6.88938236672104,6.30660022766432,42020,40373,221341
"270","Haageocereus chilensis",31.3524582494312,31.539157519307,26.7386973380441,1640857,1837679,2073467
"271","Haageocereus decumbens",1.49415469579532,1.9056292213748,0.480254283509871,46644,91890,42273
"272","Haageocereus kagenekii",15.0298483434741,16.6920306212234,20.4519833491212,339031,489077,606817
"273","Haageocereus platinospinus",4.27973816804491,4.58853562489314,1.22083319924173,45050,46704,121367
"274","Harrisia bonplandii",23.001885992882,21.8418406735484,15.8355317325891,1502197,1427884,1432284
"275","Harrisia martinii",12.9552416625026,12.2304591566333,8.91987118253681,874802,745608,764656
"276","Harrisia tetracantha",14.8476731329551,16.6030972223852,5.74308728754919,669342,939570,218827
"277","Harrisia tortuosa",4.42244848270074,4.43909211363965,2.87141282128101,363079,299070,258352
"278","Hatiora salicornioides",15.0879365085626,15.6447200598119,21.7285588468987,1114243,1194140,1815747
"279","Homalocephala polycephala",15.6979401381778,16.6013888762841,13.3251236919512,1420529,1428220,1571466
"280","Homalocephala texensis",26.0774187977911,25.8518562322833,27.6517502445645,1856202,1825895,2074702
"281","Isolatocereus dumortieri",31.1344376061465,33.465290820912,28.2773708422539,2278539,2108801,2129319
"282","Kimnachia ramulosa",28.969085069856,29.6814350196669,29.1507700920307,1934916,1950762,2133124
"283","Leocereus bahiensis",11.2102175281373,11.5230315600735,6.00323561484778,633358,655478,385678
"284","Lepismium cruciforme",29.7011374132155,31.049266216113,24.8789784709552,1766990,1671168,2171720
"285","Lepismium houlletianum",22.0170371402831,23.5265653399282,27.6771067790254,1466268,1529099,1920490
"286","Lepismium lorentzianum",14.782137101364,16.0385984092956,9.88060650847484,550887,682037,833167
"287","Lepismium lumbricoides",41.7508479032449,42.448200794054,37.4143346896876,2315869,2495801,2955970
"288","Leucostele atacamensis",31.5028722612893,32.3050404265554,24.3239725620681,1248337,1535081,1706255
"289","Leucostele chiloensis",23.0052586078058,22.5192712434154,16.4025143542118,1875994,1919030,1036360
"290","Leucostele deserticola",17.9108712397488,17.5795028603944,26.4558609477981,1352748,1593932,1671599
"291","Leucostele litoralis",2.20978921178282,2.17214812572179,3.62727918995993,212947,301427,233380
"292","Leucostele nigripilis",1.92079958448915,2.06621188750431,4.79049816169748,81159,172842,144912
"293","Leucostele skottsbergii",1.16694648071942,1.43848792907001,2.50676935001122,84286,139266,180579
"294","Leucostele terscheckii",31.3488360137965,34.5241655089634,18.3516782959084,1175901,1582789,1398128
"295","Leucostele werdermanniana",5.60177900454674,6.18640377742459,3.95229325205664,117535,176825,246882
"296","Leuenbergeria lychnidiflora",7.03576404783961,7.46605994649003,8.3846486507488,625015,571802,400662
"297","Lobivia ancistrophora",10.9311769159019,11.6204866584245,14.1411341672952,133509,230508,1063882
"298","Lobivia arachnacantha",1.9892576402411,1.91918043984192,0.885526414639878,196221,177895,51070
"299","Lobivia bridgesii",21.0259607991568,22.8694930469299,8.72461091826795,821691,1095038,473462
"300","Lobivia chrysochete",9.83571035995444,11.1239552868841,6.08123094709147,192805,351504,496109
"301","Lobivia cinnabarina",8.29778727141314,8.36905508738255,3.13084741645827,506395,744012,116059
"302","Lobivia ferox",12.5095567732419,13.5885960893733,17.7993674426608,211426,297231,916478
"303","Lobivia hertrichiana",3.70642633945943,3.34596213863184,3.55105900597067,249448,435955,245507
"304","Lobivia lateritia",1.3563055034293,1.31515300539583,2.72570258095034,15744,9311,163249
"305","Lobivia mamillosa",7.6219244585315,8.16223722039774,2.50952689291077,159808,258802,184554
"306","Lobivia maximiliana",22.8595118961142,24.9848774802422,31.0359088069387,499916,874500,2318963
"307","Lobivia obrepanda",20.9031895982432,22.4842637732474,9.58266318735753,902801,1231790,628291
"308","Lobivia pampana",8.27304375012971,8.54352496292997,3.99960406299746,78139,69666,415960
"309","Lobivia pamparuizii",6.8368114760909,7.31885630809587,4.20936514006111,557276,723281,150596
"310","Lophocereus schottii",25.7954252845029,26.8366183495527,23.7771047024214,1797546,1732958,1878056
"311","Lophophora diffusa",2.80990924417054,2.67356560823737,1.2410394325168,340339,197230,100701
"312","Lophophora williamsii",18.9382297985746,18.7670594805413,13.8209047803837,1506968,1589058,879938
"313","Maihuenia poeppigii",17.8714973260025,21.0477816766167,20.6197956043758,1389757,1558579,1871530
"314","Maihueniopsis camachoi",12.6300438123231,13.3046871240927,5.5016363543603,991884,956246,371939
"315","Maihueniopsis darwinii",11.3332198305814,12.4700227812847,17.1744222282756,1009068,951778,1906688
"316","Maihueniopsis molfinoi",7.998395171845,8.42701488544658,9.13279221401499,111481,149215,518291
"317","Maihueniopsis platyacantha",6.94799680710003,7.83516899054711,6.70275368386668,565377,589169,1014087
"318","Mammillaria albilanata",17.827437187982,19.380069751048,21.5361113132414,1417427,1327362,1357073
"319","Mammillaria beneckei",9.13570845345279,10.63373231573,8.25058950221217,473401,447159,436009
"320","Mammillaria bocasana",1.33290026727748,1.38887532853032,0.85059259133935,191922,96579,73774
"321","Mammillaria bocensis",9.51583592344843,10.1849172722325,4.50279234321219,625666,569196,349379
"322","Mammillaria bombycina",1.21110050454477,1.27706008354123,1.83227822535393,121489,69464,166336
"323","Mammillaria brandegeei",3.89447912526278,4.06765640462494,3.2428459053448,465493,351783,244822
"324","Mammillaria candida",14.2563052542056,15.1349179073311,11.3433610375693,1211844,1204200,597529
"325","Mammillaria carnea",7.60636055429249,7.85556369915821,3.99489713766029,605834,555938,198495
"326","Mammillaria compressa",15.058070336213,15.9770586683789,22.4487376669467,1374800,1179800,1295236
"327","Mammillaria crinita",13.4249591182882,13.7969008047784,11.1782398601237,1262936,1151166,624096
"328","Mammillaria decipiens",4.88755690111629,4.9778835484357,3.50488509218398,504098,358648,247716
"329","Mammillaria densispina",10.4409695262771,10.569184497657,6.19431098498088,984215,811146,421016
"330","Mammillaria discolor",11.3347041760186,11.3666788765108,6.70161415019957,1019191,898803,371313
"331","Mammillaria dixanthocentron",8.33678774214287,8.88756511859873,5.04645510393951,687126,634759,283859
"332","Mammillaria elongata",7.46365925029715,7.42162186311889,2.29603046762615,799910,635809,178304
"333","Mammillaria flavicentra",3.97959436378051,3.99468876617527,5.29909477531418,293335,192265,319205
"334","Mammillaria formosa",16.3884061832135,18.0132180446068,12.9160738265733,1364276,1373655,719567
"335","Mammillaria geminispina",7.07839618604247,7.07540881058314,6.94948658065289,683899,486467,293550
"336","Mammillaria gigantea",9.26158656238256,9.64759222209205,4.59410161585639,913050,789949,335974
"337","Mammillaria glassii",6.53134625103054,7.38627115788001,5.94586201927154,530381,737814,282519
"338","Mammillaria grusonii",7.36136489852654,7.72065243771364,2.50384611803466,701539,668389,236966
"339","Mammillaria haageana",18.0546523818835,18.1423894767518,9.47886774343645,1373905,1157576,559857
"340","Mammillaria hahniana",3.91701346515914,4.2663026446393,1.65939431257743,301140,160158,86757
"341","Mammillaria jaliscana",13.0996961438934,12.3862300508745,7.46366422834013,946464,751712,493661
"342","Mammillaria karwinskiana",20.6087948813881,21.8849509695091,18.6114591136294,1455477,1415385,1059886
"343","Mammillaria kraehenbuehlii",4.33134628849619,4.48275639274561,2.08244278728936,397780,446186,77885
"344","Mammillaria longimamma",6.30765921957839,6.29657868702088,5.22670971673692,609672,554176,320054
"345","Mammillaria magnimamma",27.3733080872582,27.876987465706,26.6163049595621,1927624,1817081,1805861
"346","Mammillaria melanocentra",10.9941400226885,12.0128970716595,7.77849747730402,759468,1029742,407663
"347","Mammillaria mercadensis",6.61035559126034,6.79725446915409,4.14635728655003,567414,454629,381703
"348","Mammillaria muehlenpfordtii",5.60593308389688,5.68078306636804,3.24632768449057,556534,389384,253591
"349","Mammillaria mystax",8.52584026727675,8.43937399746066,4.27606745500754,705863,651382,199786
"350","Mammillaria orcuttii",2.21846438569694,2.05015280943169,2.06781770450513,221228,87332,82585
"351","Mammillaria parkinsonii",4.35404532646563,4.33635536715352,1.6437226316336,469068,290768,126295
"352","Mammillaria pectinifera",4.48089555147801,4.49105918623424,1.04252724192722,430210,344852,28477
"353","Mammillaria perbella",3.2677399933679,3.43236113261802,0.875077636501242,343143,217699,85887
"354","Mammillaria petrophila",1.46626775715918,1.55897922162624,1.20923902071572,144730,146388,100361
"355","Mammillaria picta",9.44514812084275,10.1882163126971,1.81780042283161,767267,868933,39617
"356","Mammillaria pilispina",6.86801434189834,7.3171909230052,6.11972959168625,689667,672335,276240
"357","Mammillaria plumosa",2.57252389747997,2.79964893898186,2.84981120547667,282794,278693,184220
"358","Mammillaria polyedra",10.3509967405012,10.5029687482496,6.87633866912905,740229,704010,446084
"359","Mammillaria polythele",12.1050949710198,12.0262788542548,5.72080465430829,1073648,915158,400836
"360","Mammillaria pottsii",10.8868602037857,11.4454457855224,6.16160628667413,1016513,944835,558163
"361","Mammillaria rekoi",3.28671728137693,3.6939007120992,4.37992184848665,246064,249661,403183
"362","Mammillaria rettigiana",8.76149655082953,8.75762269435254,2.25524544378213,915860,751496,234684
"363","Mammillaria rhodantha",14.9068864697303,15.1556632897126,8.46425845066915,1246181,1166706,552330
"364","Mammillaria schiedeana",4.09657143604041,4.45461600447416,5.32108591230435,304724,176453,192449
"365","Mammillaria scrippsiana",16.2028428981131,16.2073124482396,12.8417471375564,1021330,832405,698773
"366","Mammillaria senilis",17.345270475352,18.0285253267782,11.8132952695578,1481751,1201119,1061395
"367","Mammillaria sphacelata",5.02344612684639,4.95389498142636,3.45429774394936,401660,280374,167827
"368","Mammillaria sphaerica",13.1763074727885,13.3814039423324,10.6598063801029,916865,951596,531346
"369","Mammillaria standleyi",6.36563956291604,6.4216544435859,5.11408637883502,389204,215840,341653
"370","Mammillaria supertexta",3.34494375287074,3.78293742050573,3.30308673015703,259761,193159,206373
"371","Mammillaria uncinata",18.6467143383497,19.5445060683152,12.961722201012,1527049,1361727,884282
"372","Mammillaria vetula",5.0048971775112,4.94484680742143,2.24736045438168,559782,434804,154316
"373","Mammillaria winterae",7.5957747400392,8.17021808087469,5.87238988494205,581348,741802,272129
"374","Matucana haynei",11.0121257567401,11.0087853363479,4.76986986813193,118945,137085,301336
"375","Melocactus bahiensis",8.13777050095775,8.6611030284026,11.3431241249273,456285,451868,695922
"376","Melocactus concinnus",6.30175321309324,6.29873497850856,4.96865299744022,269031,299302,337524
"377","Melocactus ernestii",8.97824691240567,9.15825823683831,12.3132791506856,446811,511309,780083
"378","Melocactus levitestatus",1.4476155372702,1.66602152033505,2.26759412232224,124742,167280,234268
"379","Melocactus paucispinus",3.47499483202036,3.96498553721454,0.753778568713607,126313,130841,50349
"380","Melocactus peruvianus",19.8006230435131,20.9452305032647,20.1780307465066,422230,569800,565364
"381","Melocactus salvadorensis",2.79436062204579,3.42639948292224,1.04806617585169,91198,104839,78971
"382","Melocactus violaceus",16.9168520201894,19.7310271370637,18.7929314431345,1149983,1257963,1471171
"383","Melocactus zehntneri",14.1380481050902,16.2361512956452,12.7073722301958,1046282,1044239,673685
"384","Micranthocereus albicephalus",2.52150030001548,3.17886377635512,1.45457543244763,98562,119026,138393
"385","Micranthocereus purpureus",4.30046885605286,4.7042324476642,2.00498843949009,168626,200591,154233
"386","Micropuntia pulchella",7.46995750795999,7.67109049210497,8.21181694556158,808668,663985,1063362
"387","Mila caespitosa",8.34211303910291,9.47671272141762,7.74242311793248,63630,122193,289090
"388","Miqueliopuntia miquelii",16.9921981222532,18.3260596521503,8.06329936269726,378309,527311,294381
"389","Myrtillocactus cochal",5.75961765615625,5.92418378860381,4.88506627790027,665343,484252,407398
"390","Myrtillocactus geometrizans",21.2600471862766,22.432096237487,15.4731608191108,1585156,1506043,977245
"391","Myrtillocactus schenckii",11.9575653234121,12.9047902646206,10.4112932965189,888855,843631,631502
"392","Neoraimondia arequipensis",26.5986182967031,29.3892198512093,27.9070056489732,749253,944668,921093
"393","Neoraimondia herzogiana",21.0547756031681,23.0082353374652,11.7258042337606,872090,1066715,659238
"394","Nyctocereus serpentinus",20.0462316914884,20.9749038598435,14.0705594431674,1444132,1326752,930456
"395","Opuntia arechavaletae",1.38283520245462,1.0725250713405,3.61115508369978,161977,136223,353716
"396","Opuntia arenaria",2.50218537499417,2.60221005256434,1.47645397225069,312505,247545,155003
"397","Opuntia atrispina",4.46389712646179,4.52539121293774,3.53469054370873,505592,386060,333592
"398","Opuntia aurea",4.47475075885025,4.78591576399105,3.61265599647708,497553,428447,582424
"399","Opuntia austrina",3.8658077700934,3.90707077654685,2.75813221959806,249623,209529,228263
"400","Opuntia azurea",9.60217447339582,10.6569411072967,4.37350266435053,893335,841194,469603
"401","Opuntia basilaris",19.6000366489829,21.7082284592242,20.443829970836,1849832,1688199,2246175
"402","Opuntia bravoana",1.27155408026516,1.20731823887663,1.82977654573075,138640,112353,184863
"403","Opuntia caboensis",0.539305705583796,0.599965462851942,1.10042865253599,57161,36486,79211
"404","Opuntia caracassana",12.0149858696251,11.5697981727495,20.478344553068,1078808,957212,2017276
"405","Opuntia chlorotica",24.1094775721927,23.8684675968474,20.6142636290877,2139842,1954326,2177293
"406","Opuntia comonduensis",3.90436046188221,4.2801493429383,2.83407565592335,381270,368437,269879
"407","Opuntia cuija",15.4096683696956,15.3732044555347,10.1271467626892,1310414,1238683,576909
"408","Opuntia curvispina",3.28230252960828,3.49580468852691,3.27058530873289,326124,266461,527900
"409","Opuntia decumbens",38.5199101864809,39.4100146832374,43.7150644059502,2651054,2659961,3065303
"410","Opuntia depressa",14.1171828428659,13.7605074219976,6.89203323947806,1051650,985720,366086
"411","Opuntia drummondii",14.4631024911563,15.7038349776492,11.7475402155336,1028988,1038670,1061102
"412","Opuntia elata",37.0964329180118,37.8151875766145,29.446226906286,2117570,2237310,2305614
"413","Opuntia elatior",10.2964839470631,12.0751212922282,10.3813308729527,902883,731385,1049544
"414","Opuntia feracantha",6.79684300157962,7.07928550146378,5.01802249638218,426473,464599,365519
"415","Opuntia fuliginosa",21.0441576905622,21.0837812810519,19.6813992808001,1482741,1305705,1333455
"416","Opuntia guatemalensis",14.7077569544635,15.441613589132,7.62606769956007,1116332,1208641,485458
"417","Opuntia huajuapensis",8.3698160221523,8.39915497213604,5.89458627592255,816459,664193,285100
"418","Opuntia humifusa",39.7362101370805,40.9365021483408,38.3261044453554,2723146,2631640,2901792
"419","Opuntia hyptiacantha",16.246421032462,16.2496374371827,14.4468435643281,1371575,1236975,924545
"420","Opuntia inaperta",2.81771374908502,3.29903341294232,3.90983663340113,254771,202353,357721
"421","Opuntia lasiacantha",21.1948101307358,22.4189277511289,21.2822869040059,1633405,1464010,1399649
